Settlement Name,Project Type,Project Status,Completion Percentage,Start Date,End Date,Project Budget (KES),Infrastructure Level,Population Density,Growth Rate,Need New Infrastructure
Mandera,Road,Delayed,76,2022-11-08,2023-06-10,100000000,Medium,High,Stable,0
Nakuru,Water,Completed,100,2018-08-20,2019-12-08,92000000,Medium,Low,Slow,0
Kericho,Road,Completed,100,2020-05-19,2021-02-04,38000000,Low,Low,Stable,0
Narok,Bridge,Not Started,0,,,98000000,Low,High,Stable,0
Naivasha,School,Delayed,35,2021-08-06,2022-03-14,56000000,Low,Medium,Rapid,0
Marsabit,Market,Not Started,0,,,76000000,High,Medium,Slow,0
Machakos,Hospital,In Progress,98,2022-01-09,2022-05-04,38000000,Medium,Medium,Slow,0
Garissa,School,Not Started,0,,,31000000,High,Medium,Slow,0
Mombasa,Bridge,In Progress,63,2021-12-10,2023-09-03,30000000,High,Low,Slow,0
Mandera,Market,Completed,100,2018-10-13,2019-09-04,46000000,High,Low,Stable,0
Naivasha,Electricity,Delayed,13,2021-11-05,2022-07-21,57000000,High,Low,Slow,0
Isiolo,School,Completed,100,2018-11-30,2020-04-07,28000000,High,Low,Rapid,0
Isiolo,Hospital,Completed,100,2020-10-01,2021-09-25,23000000,Medium,Medium,Slow,0
Naivasha,Water,Completed,100,2019-10-26,2021-01-06,56000000,Low,Low,Rapid,0
Lodwar,Water,Delayed,84,2022-04-05,2023-04-23,97000000,High,Low,Slow,0
Embu,Bridge,Not Started,0,,,73000000,Medium,Low,Slow,0
Lodwar,Water,Delayed,99,2021-07-08,2023-05-09,78000000,Low,High,Slow,0
Kericho,Market,In Progress,96,2022-05-20,2023-03-02,65000000,Medium,Medium,Stable,0
Marsabit,Electricity,Delayed,56,2021-07-04,2022-05-16,61000000,High,High,Slow,0
Wajir,Water,In Progress,61,2022-03-02,2023-03-05,33000000,High,Low,Stable,0
Machakos,Market,In Progress,94,2021-09-23,2021-12-15,99000000,High,Low,Slow,0
Nairobi,School,In Progress,45,2022-08-11,2022-09-12,96000000,High,High,Rapid,0
Wajir,Hospital,Completed,100,2018-12-09,2019-10-28,69000000,Low,High,Stable,0
Embu,Road,Delayed,11,2022-11-08,2024-09-19,61000000,High,High,Rapid,0
Kericho,Water,Delayed,53,2021-07-20,2022-02-19,39000000,Medium,Medium,Stable,0
Eldoret,Water,Completed,100,2019-08-15,2020-09-17,75000000,Low,Medium,Slow,0
Embu,Road,In Progress,38,2021-04-11,2023-01-31,86000000,Low,High,Stable,0
Voi,Market,In Progress,52,2021-05-20,2022-11-11,54000000,Medium,Low,Slow,0
Naivasha,Road,Delayed,15,2022-10-09,2024-04-23,100000000,Low,Low,Stable,0
Kitale,Bridge,Delayed,35,2022-01-09,2022-02-21,6000000,Medium,Medium,Stable,0
Kitale,School,In Progress,76,2022-11-18,2023-03-16,80000000,Medium,High,Slow,0
Wajir,Road,Not Started,0,,,54000000,Low,High,Stable,0
Lodwar,School,Completed,100,2019-07-14,2020-03-19,77000000,High,High,Slow,0
Isiolo,Electricity,Not Started,0,,,46000000,High,High,Stable,0
Narok,Road,Not Started,0,,,6000000,Low,Medium,Stable,0
Nairobi,Market,In Progress,64,2022-06-02,2022-12-29,8000000,Low,Medium,Rapid,0
Garissa,Water,Not Started,0,,,77000000,Low,Medium,Rapid,0
Garissa,Hospital,In Progress,64,2022-08-21,2023-09-02,93000000,Low,High,Rapid,0
Meru,Water,Completed,100,2019-08-09,2020-04-18,33000000,High,Low,Rapid,0
Lodwar,Bridge,Completed,100,2019-11-03,2020-02-27,72000000,Low,High,Stable,0
Nairobi,Bridge,Not Started,0,,,55000000,High,Medium,Stable,0
Lodwar,Road,In Progress,61,2021-11-01,2022-01-12,24000000,Low,Low,Slow,0
Marsabit,Electricity,Completed,100,2019-06-25,2019-10-07,37000000,Medium,Medium,Stable,0
Nyeri,Electricity,Completed,100,2020-09-27,2021-11-10,13000000,High,High,Slow,0
Mombasa,School,Completed,100,2019-11-18,2020-09-13,93000000,Low,Medium,Slow,0
Lamu,School,In Progress,88,2022-07-19,2023-05-04,73000000,Medium,Low,Stable,0
Nairobi,Market,Not Started,0,,,46000000,Low,High,Stable,0
Meru,Market,Completed,100,2019-05-04,2020-08-19,20000000,Medium,Medium,Rapid,0
Kisumu,School,Not Started,0,,,14000000,Low,Medium,Rapid,0
Wajir,Market,Delayed,7,2021-06-11,2021-10-20,92000000,Low,Low,Stable,0
Nairobi,Electricity,Delayed,86,2021-05-11,2021-07-18,50000000,Medium,Low,Slow,0
Nairobi,Hospital,Delayed,81,2022-10-16,2022-12-21,20000000,High,Low,Rapid,0
Malindi,Water,In Progress,61,2022-07-06,2022-09-08,55000000,Medium,Low,Rapid,0
Narok,School,Completed,100,2019-10-14,2020-04-03,34000000,Low,Medium,Slow,0
Marsabit,Bridge,Not Started,0,,,45000000,High,High,Rapid,0
Kericho,Hospital,Completed,100,2018-03-17,2019-06-16,45000000,Low,Medium,Stable,0
Lamu,Road,In Progress,78,2022-09-25,2022-12-23,98000000,Medium,Low,Rapid,0
Malindi,Hospital,Not Started,0,,,84000000,High,Low,Rapid,0
Naivasha,School,Delayed,13,2022-03-18,2022-10-11,47000000,Low,Medium,Slow,0
Narok,Water,Not Started,0,,,39000000,Medium,High,Stable,0
Marsabit,Market,In Progress,24,2022-12-31,2023-12-16,6000000,High,High,Stable,0
Marsabit,Electricity,In Progress,12,2022-09-19,2023-03-23,63000000,Low,Medium,Slow,0
Kisumu,Market,Completed,100,2019-05-03,2019-12-21,5000000,Low,Low,Rapid,0
Embu,School,Not Started,0,,,92000000,Medium,Low,Stable,0
Thika,Electricity,Delayed,8,2021-07-08,2021-08-20,47000000,Medium,High,Slow,0
Nakuru,Water,In Progress,63,2021-02-19,2021-03-26,39000000,Medium,Low,Rapid,0
Embu,Market,Completed,100,2018-11-06,2019-05-04,15000000,High,Low,Stable,0
Mandera,Hospital,Completed,100,2019-01-21,2019-05-07,99000000,High,High,Stable,0
Embu,Electricity,Not Started,0,,,87000000,High,High,Stable,0
Kitale,Road,Delayed,15,2022-09-25,2022-12-09,24000000,High,Low,Slow,0
Wajir,Market,In Progress,77,2021-08-14,2022-04-19,7000000,High,Medium,Stable,0
Nairobi,Hospital,In Progress,14,2021-01-31,2021-12-18,40000000,Low,Low,Stable,0
Kisumu,Hospital,Not Started,0,,,32000000,High,Low,Stable,0
Wajir,Water,Completed,100,2018-06-25,2019-02-07,67000000,Medium,Low,Stable,0
Voi,Road,In Progress,31,2022-09-10,2023-12-18,69000000,Low,High,Stable,0
Wajir,Water,Completed,100,2018-09-29,2019-06-23,55000000,Low,High,Rapid,0
Machakos,Market,Delayed,27,2021-01-14,2022-02-07,14000000,High,Medium,Rapid,0
Garissa,Bridge,In Progress,22,2021-02-13,2022-04-20,47000000,Low,Low,Slow,0
Kitale,Market,In Progress,7,2022-11-03,2023-04-18,51000000,Medium,High,Slow,0
Nyeri,School,Completed,100,2020-03-22,2021-04-08,25000000,Medium,Low,Rapid,0
Mombasa,Bridge,Completed,100,2020-10-23,2021-08-20,44000000,Low,High,Slow,0
Meru,Market,Delayed,99,2021-01-09,2022-06-11,6000000,Medium,High,Stable,0
Eldoret,Market,In Progress,94,2022-05-20,2024-03-17,48000000,Medium,Medium,Slow,0
Isiolo,School,Delayed,19,2021-07-01,2022-10-27,88000000,Low,High,Stable,0
Mandera,Water,In Progress,54,2022-07-01,2024-01-30,79000000,Low,Medium,Slow,0
Kakamega,Hospital,Delayed,43,2022-02-13,2023-02-21,48000000,Medium,Medium,Slow,0
Marsabit,Electricity,Completed,100,2018-04-23,2019-07-22,90000000,Medium,Low,Stable,0
Wajir,Electricity,Delayed,52,2021-05-22,2022-09-03,34000000,Low,Medium,Stable,0
Embu,Electricity,Delayed,32,2021-06-16,2021-10-23,92000000,Low,High,Stable,0
Voi,School,In Progress,40,2021-10-13,2022-08-13,52000000,Low,Medium,Rapid,0
Kakamega,Electricity,Not Started,0,,,39000000,Low,Low,Rapid,0
Embu,Bridge,Not Started,0,,,64000000,Low,Medium,Slow,0
Mombasa,Bridge,Delayed,88,2021-12-02,2022-12-04,39000000,Low,High,Stable,0
Kisumu,Road,In Progress,41,2022-10-14,2024-05-22,98000000,Medium,Low,Stable,0
Nyeri,Hospital,Not Started,0,,,67000000,High,Medium,Stable,0
Voi,Market,Delayed,1,2021-11-20,2023-07-09,81000000,Low,Medium,Rapid,0
Wajir,School,Delayed,17,2021-03-06,2023-01-11,50000000,Medium,Low,Slow,0
Nairobi,Road,In Progress,46,2021-02-11,2022-12-25,98000000,Medium,Medium,Stable,0
Garissa,Water,In Progress,18,2022-03-29,2023-12-20,4000000,High,Low,Rapid,0
Mandera,Electricity,In Progress,92,2022-01-14,2022-11-04,66000000,High,Medium,Rapid,0
Lamu,Electricity,Delayed,30,2022-08-03,2024-07-02,12000000,High,Low,Rapid,0
Kakamega,Hospital,Completed,100,2020-09-08,2021-07-13,62000000,High,High,Slow,0
Naivasha,Electricity,Completed,100,2020-02-21,2020-06-02,28000000,Low,Low,Stable,0
Garissa,Electricity,Completed,100,2020-06-09,2021-07-23,89000000,Low,Medium,Stable,0
Narok,School,Delayed,82,2022-07-19,2023-01-11,79000000,High,Medium,Rapid,0
Mombasa,Road,In Progress,68,2022-04-30,2024-01-23,4000000,Medium,High,Stable,0
Eldoret,Electricity,Delayed,25,2022-03-25,2023-02-26,31000000,Medium,Medium,Rapid,0
Mombasa,Water,In Progress,67,2021-06-21,2022-09-25,56000000,High,Medium,Slow,0
Wajir,Market,Not Started,0,,,25000000,Medium,Medium,Stable,0
Marsabit,Market,Completed,100,2020-11-10,2021-04-03,98000000,Low,Low,Slow,0
Machakos,School,Delayed,40,2021-10-07,2023-04-27,74000000,Medium,High,Stable,0
Garissa,Road,In Progress,96,2021-10-13,2023-03-02,25000000,Low,Medium,Rapid,0
Embu,School,Delayed,24,2022-07-03,2022-09-30,83000000,Medium,High,Rapid,0
Naivasha,Market,Delayed,85,2021-11-21,2022-02-28,60000000,Low,Medium,Stable,0
Machakos,Hospital,Not Started,0,,,46000000,High,High,Stable,0
Mandera,School,Completed,100,2018-11-08,2019-10-18,41000000,Low,Medium,Stable,0
Lamu,Bridge,Delayed,63,2022-06-02,2023-04-14,63000000,High,High,Rapid,0
Meru,Bridge,Completed,100,2018-06-17,2018-10-11,37000000,High,High,Stable,0
Nairobi,Bridge,Completed,100,2019-04-23,2020-04-13,93000000,Medium,Medium,Rapid,0
Mombasa,Hospital,Completed,100,2018-11-29,2020-03-30,49000000,Medium,High,Slow,0
Thika,Road,Not Started,0,,,54000000,High,Medium,Slow,0
Kitale,Market,In Progress,34,2021-07-16,2022-09-22,39000000,Low,High,Stable,0
Nyeri,Electricity,Not Started,0,,,83000000,High,Medium,Slow,0
Eldoret,Bridge,Delayed,45,2022-10-15,2024-07-26,29000000,Low,High,Slow,0
Wajir,Bridge,Not Started,0,,,83000000,High,Medium,Rapid,0
Machakos,Hospital,Not Started,0,,,72000000,Low,Low,Stable,0
Nairobi,Hospital,Completed,100,2018-03-24,2018-07-13,11000000,High,Medium,Slow,0
Marsabit,Road,In Progress,10,2021-03-09,2021-10-08,24000000,Medium,Low,Stable,0
Kitale,Water,Delayed,78,2022-07-20,2023-08-31,84000000,Medium,Low,Stable,0
Nairobi,School,Not Started,0,,,83000000,Medium,Medium,Rapid,0
Naivasha,School,Completed,100,2020-06-18,2020-11-14,21000000,High,Medium,Slow,0
Mandera,Bridge,Completed,100,2020-01-24,2021-05-09,11000000,Medium,Low,Slow,0
Embu,Hospital,Completed,100,2020-11-09,2021-09-13,5000000,Medium,Medium,Rapid,0
Naivasha,Road,Completed,100,2020-02-08,2020-05-18,85000000,High,High,Slow,0
Kitale,Road,Not Started,0,,,44000000,Medium,Low,Stable,0
Nairobi,Road,Completed,100,2019-01-10,2019-08-27,99000000,Low,Low,Stable,0
Kisumu,Bridge,In Progress,78,2022-07-09,2024-01-13,33000000,High,High,Rapid,0
Malindi,Market,Delayed,95,2022-01-21,2022-08-27,22000000,High,High,Slow,0
Wajir,Electricity,In Progress,30,2021-02-06,2021-09-23,8000000,Medium,Medium,Rapid,0
Garissa,Electricity,Not Started,0,,,31000000,High,Low,Stable,0
Machakos,Hospital,In Progress,68,2021-09-28,2023-06-18,64000000,Low,Medium,Stable,0
Eldoret,Bridge,Completed,100,2020-12-17,2022-04-28,79000000,Low,Medium,Rapid,0
Eldoret,Water,Delayed,92,2021-11-13,2023-08-20,50000000,High,Medium,Slow,0
Naivasha,Market,Completed,100,2020-01-06,2020-09-22,23000000,High,Low,Rapid,0
Kericho,School,In Progress,5,2022-03-09,2023-08-26,52000000,Low,High,Slow,0
Lamu,Road,Completed,100,2018-08-28,2019-03-20,2000000,High,Medium,Stable,0
Nakuru,Water,Delayed,88,2022-04-19,2023-06-17,94000000,Low,Low,Slow,0
Marsabit,Electricity,Delayed,97,2021-03-25,2022-12-10,29000000,Low,Low,Stable,0
Marsabit,Electricity,Not Started,0,,,41000000,High,High,Stable,0
Thika,Market,Delayed,69,2021-01-20,2021-07-13,54000000,High,Medium,Rapid,0
Garissa,Road,Not Started,0,,,20000000,High,Low,Stable,0
Voi,Hospital,Not Started,0,,,23000000,Low,Low,Slow,0
Isiolo,School,Not Started,0,,,9000000,High,Low,Slow,0
Embu,Water,Not Started,0,,,65000000,Medium,Low,Slow,0
Nairobi,Hospital,Delayed,79,2022-11-11,2023-08-05,18000000,High,Low,Rapid,0
Nairobi,Water,In Progress,59,2021-02-26,2021-10-30,68000000,High,High,Stable,0
Narok,Market,Not Started,0,,,41000000,Low,Low,Slow,0
Mandera,Electricity,Delayed,18,2022-09-19,2024-08-13,89000000,High,Low,Stable,0
Lodwar,Bridge,Delayed,73,2021-07-20,2022-12-11,78000000,Medium,Medium,Slow,0
Eldoret,Market,Not Started,0,,,89000000,Medium,Low,Stable,0
Nakuru,Hospital,Not Started,0,,,5000000,Medium,Low,Slow,0
Garissa,Bridge,Not Started,0,,,87000000,Low,Medium,Rapid,0
Embu,School,Not Started,0,,,7000000,Medium,Low,Stable,0
Thika,Electricity,Completed,100,2019-05-19,2020-06-10,77000000,Low,High,Slow,0
Kericho,Hospital,In Progress,69,2022-05-20,2023-08-18,51000000,Low,Low,Slow,0
Naivasha,Market,Not Started,0,,,56000000,High,High,Rapid,0
Kisumu,Water,In Progress,6,2021-09-18,2023-02-03,49000000,High,Medium,Rapid,0
Nairobi,Bridge,Delayed,67,2021-12-10,2023-01-02,10000000,Low,Medium,Stable,0
Narok,Water,Completed,100,2020-05-16,2021-04-05,44000000,High,Medium,Slow,0
Embu,School,In Progress,23,2021-05-01,2021-09-16,27000000,Medium,Low,Slow,0
Eldoret,Water,Not Started,0,,,58000000,High,High,Rapid,0
Narok,Market,Completed,100,2018-06-19,2019-10-19,100000000,Medium,Medium,Stable,0
Machakos,School,Not Started,0,,,32000000,Low,High,Slow,0
Mandera,Road,In Progress,34,2022-03-30,2023-04-15,85000000,High,Medium,Slow,0
Wajir,Market,Not Started,0,,,86000000,High,Medium,Stable,0
Nairobi,Road,Delayed,99,2022-03-13,2023-11-05,97000000,Low,Low,Stable,0
Meru,Road,Completed,100,2019-11-15,2020-07-11,78000000,High,Low,Rapid,0
Mandera,Market,Delayed,85,2021-11-15,2022-08-13,5000000,Low,Low,Rapid,0
Kericho,Market,Delayed,95,2022-05-30,2023-08-07,39000000,Low,High,Stable,0
Thika,Bridge,Not Started,0,,,12000000,High,Low,Rapid,0
Kakamega,Road,Not Started,0,,,74000000,Low,High,Rapid,1
Meru,Market,Completed,100,2018-04-26,2018-10-24,17000000,High,Medium,Rapid,0
Mombasa,Market,Completed,100,2019-11-01,2020-10-24,23000000,High,Medium,Slow,0
Kisumu,Bridge,Delayed,64,2022-04-01,2023-08-25,32000000,Low,High,Rapid,0
Mombasa,Road,Delayed,87,2022-12-07,2023-11-15,70000000,Low,Medium,Stable,0
Nakuru,Electricity,Completed,100,2020-11-06,2021-05-16,59000000,Low,High,Rapid,0
Lodwar,Electricity,Delayed,83,2021-08-29,2023-05-25,27000000,Low,Low,Rapid,0
Kakamega,Road,Not Started,0,,,5000000,Low,High,Rapid,1
Eldoret,Hospital,Completed,100,2018-03-28,2018-08-29,49000000,Low,Low,Rapid,0
Kitale,Hospital,Delayed,4,2021-01-20,2021-05-01,15000000,Medium,Low,Rapid,0
Naivasha,School,Delayed,20,2021-02-19,2022-05-15,98000000,High,Low,Slow,0
Meru,Bridge,In Progress,68,2022-02-17,2022-05-05,48000000,Medium,Medium,Rapid,0
Wajir,Bridge,In Progress,46,2022-04-23,2024-02-19,52000000,High,High,Slow,0
Wajir,Road,Delayed,76,2021-02-18,2022-08-04,4000000,High,Low,Stable,0
Voi,Bridge,Delayed,54,2022-01-13,2022-04-11,16000000,Medium,Low,Rapid,0
Nyeri,Bridge,Completed,100,2019-01-08,2020-02-20,60000000,Low,High,Stable,0
Kakamega,Water,In Progress,83,2021-03-07,2022-12-12,27000000,High,Low,Slow,0
Marsabit,Bridge,Not Started,0,,,31000000,Low,Medium,Stable,0
Malindi,Road,Completed,100,2019-04-09,2020-03-26,92000000,Low,Low,Rapid,0
Kisumu,Market,In Progress,33,2022-10-23,2024-05-19,56000000,High,Medium,Slow,0
Mandera,School,Completed,100,2019-04-25,2020-03-08,100000000,Medium,Low,Stable,0
Eldoret,Road,Not Started,0,,,37000000,Medium,High,Rapid,0
Kisumu,Water,In Progress,4,2022-01-13,2023-02-21,73000000,Medium,Medium,Rapid,0
Kakamega,School,Not Started,0,,,29000000,Medium,Low,Slow,0
Mombasa,Bridge,Delayed,66,2021-12-09,2022-04-24,73000000,Medium,Low,Rapid,0
Eldoret,Electricity,Completed,100,2019-09-01,2020-01-22,66000000,Medium,Low,Slow,0
Meru,Hospital,In Progress,19,2021-05-29,2023-01-31,79000000,High,Medium,Rapid,0
Mandera,Electricity,In Progress,10,2021-12-23,2023-04-13,57000000,High,Low,Stable,0
Isiolo,School,Delayed,39,2022-12-31,2024-01-20,57000000,High,Low,Stable,0
Embu,Water,Completed,100,2019-08-02,2020-02-11,59000000,Low,Low,Stable,0
Eldoret,School,In Progress,40,2021-12-24,2022-05-28,15000000,Medium,High,Slow,0
Wajir,Market,In Progress,35,2021-06-16,2021-09-13,31000000,High,Low,Slow,0
Garissa,Road,In Progress,62,2021-07-16,2023-01-27,77000000,Low,Low,Slow,0
Mandera,Water,In Progress,66,2022-10-07,2023-07-29,2000000,Medium,Medium,Rapid,0
Mandera,Road,Completed,100,2020-06-15,2020-09-27,1000000,Low,Medium,Stable,0
Garissa,Electricity,In Progress,63,2021-12-21,2022-11-23,45000000,Low,High,Stable,0
Thika,School,Delayed,43,2022-10-27,2024-08-17,20000000,Low,Medium,Slow,0
Lamu,School,Not Started,0,,,22000000,High,Medium,Slow,0
Wajir,Bridge,Delayed,57,2021-12-07,2022-09-06,47000000,Low,Medium,Rapid,0
Wajir,Road,Delayed,53,2021-11-07,2023-06-27,39000000,Low,High,Stable,0
Machakos,Market,Not Started,0,,,31000000,Low,Medium,Rapid,0
Thika,School,Completed,100,2019-05-01,2019-09-06,25000000,Low,High,Slow,0
Thika,Hospital,Not Started,0,,,61000000,Medium,Low,Rapid,0
Nakuru,Water,Not Started,0,,,53000000,High,High,Slow,0
Malindi,Water,Not Started,0,,,33000000,High,Low,Stable,0
Thika,Road,Delayed,69,2021-06-23,2021-10-16,72000000,High,Low,Rapid,0
Kericho,Bridge,Not Started,0,,,50000000,Medium,Low,Stable,0
Wajir,School,In Progress,75,2022-05-04,2023-08-15,29000000,High,High,Stable,0
Garissa,Market,Completed,100,2019-08-09,2019-12-15,56000000,High,Medium,Stable,0
Kisumu,Market,Not Started,0,,,83000000,Low,High,Slow,0
Voi,Water,In Progress,71,2021-10-09,2023-01-17,86000000,High,High,Slow,0
Thika,Water,Completed,100,2020-04-06,2020-09-25,62000000,Medium,Low,Slow,0
Lamu,Bridge,Completed,100,2019-08-05,2020-08-24,80000000,High,Medium,Stable,0
Lodwar,Road,In Progress,17,2022-01-08,2023-09-15,70000000,Medium,Medium,Rapid,0
Naivasha,Water,In Progress,49,2021-04-15,2022-02-20,62000000,Low,High,Slow,0
Kakamega,Market,In Progress,86,2021-04-02,2021-08-19,16000000,Medium,Medium,Slow,0
Lamu,Electricity,In Progress,46,2021-11-20,2023-07-14,43000000,High,Medium,Stable,0
Kisumu,Hospital,Delayed,18,2022-05-12,2024-01-30,29000000,High,High,Stable,0
Narok,Hospital,In Progress,43,2022-01-25,2023-03-08,63000000,Medium,High,Rapid,0
Mandera,Market,In Progress,82,2022-05-31,2024-03-05,67000000,Low,Medium,Slow,0
Mombasa,Market,In Progress,23,2022-01-25,2023-11-05,2000000,High,High,Slow,0
Kakamega,Road,In Progress,10,2021-10-14,2022-06-07,95000000,High,Medium,Rapid,0
Meru,Water,Delayed,13,2021-11-23,2022-03-08,51000000,Medium,Medium,Rapid,0
Machakos,Water,Delayed,63,2021-02-13,2022-08-13,93000000,Medium,Low,Stable,0
Thika,Hospital,In Progress,48,2021-03-03,2021-04-26,21000000,Low,Medium,Rapid,0
Naivasha,Market,Not Started,0,,,46000000,Medium,High,Slow,0
Kitale,Hospital,Not Started,0,,,34000000,Low,Low,Stable,0
Garissa,Water,Completed,100,2020-04-01,2020-09-05,83000000,Medium,High,Slow,0
Narok,Bridge,Completed,100,2019-05-16,2019-09-19,53000000,Low,Low,Rapid,0
Kericho,Water,Completed,100,2018-11-01,2020-01-13,94000000,Medium,High,Slow,0
Embu,Bridge,Delayed,49,2022-04-17,2022-06-25,32000000,Medium,Medium,Stable,0
Kakamega,Market,Not Started,0,,,99000000,Medium,Low,Slow,0
Eldoret,Market,Not Started,0,,,58000000,Low,High,Stable,0
Lamu,Road,Not Started,0,,,60000000,High,Medium,Stable,0
Nyeri,School,Delayed,92,2022-08-02,2024-03-03,61000000,Low,High,Rapid,0
Mandera,Hospital,Completed,100,2018-05-01,2019-01-11,71000000,Low,Low,Stable,0
Mombasa,Hospital,Delayed,89,2022-03-03,2023-05-13,63000000,High,Medium,Slow,0
Marsabit,School,Completed,100,2020-10-15,2022-01-25,16000000,Low,High,Slow,0
Isiolo,Market,In Progress,98,2021-04-14,2022-11-18,1000000,Medium,Medium,Stable,0
Eldoret,Market,In Progress,32,2021-04-30,2021-08-11,28000000,Low,Low,Rapid,0
Garissa,Electricity,In Progress,47,2022-07-16,2023-01-13,49000000,Medium,High,Slow,0
Wajir,Water,Not Started,0,,,99000000,Low,Medium,Slow,0
Narok,Hospital,Not Started,0,,,7000000,Medium,Medium,Slow,0
Malindi,Water,In Progress,14,2022-12-20,2024-05-31,38000000,Medium,High,Stable,0
Lodwar,Market,Not Started,0,,,53000000,Low,High,Rapid,1
Wajir,Water,Delayed,49,2021-04-02,2021-10-27,12000000,Medium,High,Slow,0
Mombasa,Road,Not Started,0,,,51000000,High,High,Stable,0
Eldoret,Electricity,Not Started,0,,,92000000,Low,Medium,Rapid,0
Mandera,Bridge,Delayed,3,2022-05-23,2023-03-04,44000000,Low,Low,Stable,0
Narok,Bridge,In Progress,8,2021-06-09,2022-05-27,83000000,Medium,Low,Stable,0
Mandera,Bridge,In Progress,11,2021-08-11,2023-01-29,64000000,Medium,Low,Rapid,0
Lodwar,Water,Completed,100,2019-07-26,2019-11-03,54000000,High,Medium,Slow,0
Nyeri,Bridge,Not Started,0,,,54000000,Medium,High,Slow,0
Machakos,Electricity,Delayed,3,2022-04-18,2022-06-29,29000000,Medium,High,Stable,0
Nakuru,Electricity,In Progress,7,2021-12-30,2022-10-18,75000000,Low,High,Rapid,1
Voi,School,Completed,100,2018-09-20,2019-10-20,32000000,High,High,Rapid,0
Malindi,Road,Completed,100,2019-10-19,2020-05-13,5000000,Medium,Medium,Stable,0
Narok,Hospital,Not Started,0,,,93000000,Low,High,Stable,0
Wajir,Market,Completed,100,2019-05-05,2019-10-13,91000000,Medium,Low,Stable,0
Nairobi,Market,Delayed,37,2021-10-08,2022-07-21,70000000,High,Low,Slow,0
Mandera,Road,Not Started,0,,,83000000,High,Medium,Slow,0
Meru,School,Delayed,43,2022-02-27,2022-11-03,70000000,Low,High,Stable,0
Lamu,Hospital,In Progress,7,2021-06-13,2021-09-02,4000000,Low,High,Stable,0
Kakamega,Hospital,Delayed,56,2021-11-27,2022-05-28,99000000,High,Low,Slow,0
Nakuru,Electricity,Delayed,96,2021-06-25,2023-03-28,32000000,Low,Low,Slow,0
Isiolo,Hospital,Completed,100,2020-11-30,2022-01-16,83000000,High,Low,Rapid,0
Nyeri,Water,Delayed,62,2022-12-03,2024-07-08,10000000,Low,Low,Slow,0
Eldoret,Road,Not Started,0,,,46000000,High,Low,Rapid,0
Nakuru,Electricity,Not Started,0,,,39000000,High,Medium,Stable,0
Thika,Electricity,In Progress,53,2021-11-14,2022-03-29,31000000,High,Medium,Rapid,0
Marsabit,Road,Completed,100,2019-08-20,2020-08-24,86000000,High,Medium,Stable,0
Eldoret,School,Not Started,0,,,93000000,High,High,Rapid,0
Eldoret,School,Completed,100,2020-11-10,2021-08-09,47000000,Low,Low,Rapid,0
Nairobi,School,Delayed,66,2021-08-04,2021-12-28,31000000,Medium,Medium,Rapid,0
Machakos,Market,In Progress,29,2022-04-19,2023-10-26,1000000,Medium,Low,Slow,0
Embu,Water,Not Started,0,,,62000000,Low,High,Stable,0
Machakos,School,Completed,100,2020-02-25,2020-06-30,37000000,Low,Medium,Rapid,0
Meru,Road,Not Started,0,,,81000000,High,Low,Rapid,0
Wajir,Bridge,Not Started,0,,,67000000,Low,High,Rapid,1
Meru,Electricity,Not Started,0,,,8000000,Medium,High,Rapid,0
Garissa,Market,In Progress,96,2021-12-25,2023-02-27,53000000,Low,Low,Stable,0
Kisumu,Market,Delayed,32,2021-04-27,2022-12-27,62000000,Medium,Low,Rapid,0
Narok,Water,Delayed,59,2022-04-22,2023-10-04,27000000,Medium,High,Slow,0
Narok,Bridge,In Progress,6,2022-03-08,2023-05-11,39000000,High,Low,Rapid,0
Naivasha,Bridge,Completed,100,2018-02-12,2018-11-20,67000000,High,Low,Rapid,0
Marsabit,School,Completed,100,2018-03-15,2019-03-17,4000000,High,High,Stable,0
Kericho,Bridge,Not Started,0,,,20000000,High,High,Rapid,0
Nyeri,Water,Not Started,0,,,11000000,Medium,Low,Rapid,0
Meru,Road,Not Started,0,,,83000000,High,Medium,Slow,0
Lodwar,Road,In Progress,66,2021-09-21,2022-03-23,12000000,Medium,High,Slow,0
Kitale,Road,Not Started,0,,,98000000,Low,Low,Stable,0
Kakamega,Market,In Progress,80,2021-09-10,2023-06-25,24000000,Medium,High,Rapid,0
Kakamega,Market,Not Started,0,,,8000000,Medium,Medium,Slow,0
Wajir,School,Completed,100,2019-06-03,2020-07-08,91000000,Medium,Medium,Slow,0
Nairobi,Electricity,In Progress,59,2022-01-02,2023-08-18,28000000,Medium,Low,Stable,0
Nairobi,Water,Delayed,66,2022-11-28,2024-10-01,48000000,Medium,Low,Slow,0
Naivasha,Bridge,In Progress,98,2021-04-16,2021-11-16,8000000,Low,Medium,Stable,0
Nakuru,Road,In Progress,86,2021-05-03,2021-07-26,3000000,Medium,Low,Slow,0
Garissa,School,Not Started,0,,,31000000,High,Low,Stable,0
Narok,Water,Completed,100,2020-09-07,2021-05-12,10000000,Medium,Medium,Stable,0
Kisumu,Hospital,Delayed,10,2021-04-16,2022-03-15,1000000,Medium,Medium,Slow,0
Nakuru,Hospital,Not Started,0,,,53000000,High,High,Stable,0
Kisumu,Hospital,In Progress,63,2021-11-10,2022-02-18,38000000,Medium,High,Slow,0
Marsabit,Road,Not Started,0,,,27000000,High,High,Stable,0
Isiolo,Bridge,In Progress,28,2022-04-17,2023-03-29,22000000,Medium,High,Slow,0
