Settlement Name,Project Type,Project Completion Status,Completion Percentage,Project Budget (KES),Requirement,Population,Implementing Partner,Type of Settlement
SET_3044,Market Place Construction,Ongoing,53,13565392.640925605,Market Place Construction Requirement 3043,23625,IP_19,Semi Urban
SET_3045,Market Place Construction,Completed On Time,100,37838379.05829744,Market Place Construction Requirement 3044,66524,IP_13,Semi Urban
SET_3046,School Building,Delayed,63,12928772.415824234,School Building Requirement 3045,44050,IP_09,Semi Urban
SET_3047,Hospital Development,Completed On Time,100,24849973.406001605,Hospital Development Requirement 3046,65120,IP_02,Urban
SET_3048,Road Construction,Delayed,71,5056304.425236011,Road Construction Requirement 3047,18206,IP_08,Semi Rural
SET_3049,Hospital Development,Completed On Time,100,34518718.252464734,Hospital Development Requirement 3048,78195,IP_15,Semi Urban
SET_3050,Water Supply,Stalled,34,12816094.978518788,Water Supply Requirement 3049,39210,IP_12,Semi Urban
SET_3051,Water Supply,Completed Behind Schedule,81,21542944.209468197,Water Supply Requirement 3050,67038,IP_15,Urban
SET_3052,Water Supply,Completed On Time,100,41259880.74214456,Water Supply Requirement 3051,94079,IP_11,Urban
SET_3053,Hospital Development,Ongoing,66,20282818.893455334,Hospital Development Requirement 3052,51250,IP_16,Semi Urban
SET_3054,Market Place Construction,Completed Behind Schedule,81,49605929.0718986,Market Place Construction Requirement 3053,93506,IP_07,Urban
SET_3055,Road Construction,Ongoing,70,39362910.60028542,Road Construction Requirement 3054,85728,IP_15,Semi Urban
SET_3056,School Building,Completed Behind Schedule,94,9842713.709063256,School Building Requirement 3055,27038,IP_19,Semi Urban
SET_3057,Water Supply,Ongoing,43,42840008.94455844,Water Supply Requirement 3056,79669,IP_10,Urban
SET_3058,Road Construction,Completed Behind Schedule,83,39576693.68062385,Road Construction Requirement 3057,69071,IP_08,Urban
SET_3059,Hospital Development,Ongoing,42,11210287.532089747,Hospital Development Requirement 3058,18670,IP_15,Semi Urban
SET_3060,Water Supply,Delayed,62,5694865.566677913,Water Supply Requirement 3059,16933,IP_07,Semi Urban
SET_3061,Hospital Development,Completed Behind Schedule,97,21818253.871755123,Hospital Development Requirement 3060,88389,IP_17,Semi Urban
SET_3062,School Building,Cancelled,19,52635487.80762501,School Building Requirement 3061,90680,IP_12,Semi Urban
SET_3063,Hospital Development,Delayed,68,63716909.76088344,Hospital Development Requirement 3062,87653,IP_07,Urban
SET_3064,Water Supply,Completed Behind Schedule,98,15265041.645904314,Water Supply Requirement 3063,38548,IP_03,Semi Urban
SET_3065,Hospital Development,Completed On Time,100,19946087.370550223,Hospital Development Requirement 3064,57820,IP_19,Semi Urban
SET_3066,Hospital Development,Delayed,56,34560502.47237414,Hospital Development Requirement 3065,74198,IP_12,Urban
SET_3067,Hospital Development,Completed Behind Schedule,80,3779309.0681212754,Hospital Development Requirement 3066,15864,IP_07,Semi Urban
SET_3068,Market Place Construction,Completed On Time,100,17974366.93095819,Market Place Construction Requirement 3067,38820,IP_02,Semi Urban
SET_3069,Hospital Development,Cancelled,17,10462275.348667243,Hospital Development Requirement 3068,27644,IP_14,Semi Rural
SET_3070,School Building,Delayed,57,57631128.76665051,School Building Requirement 3069,87708,IP_14,Urban
SET_3071,Hospital Development,Completed On Time,100,7651395.166880511,Hospital Development Requirement 3070,49586,IP_09,Semi Rural
SET_3072,Energy,Delayed,53,41538618.77022371,Energy Requirement 3071,80517,IP_17,Urban
SET_3073,Energy,Cancelled,16,39418218.692333415,Energy Requirement 3072,81483,IP_02,Semi Urban
SET_3074,School Building,Ongoing,49,4004728.9785227007,School Building Requirement 3073,14790,IP_03,Semi Rural
SET_3075,Energy,Completed Behind Schedule,96,598581.6953006473,Energy Requirement 3074,3500,IP_18,Semi Rural
SET_3076,Hospital Development,Delayed,55,5400152.239638079,Hospital Development Requirement 3075,15003,IP_19,Semi Rural
SET_3077,Road Construction,Ongoing,42,31947243.80759508,Road Construction Requirement 3076,88231,IP_17,Semi Urban
SET_3078,Energy,Ongoing,46,50572162.92768542,Energy Requirement 3077,84844,IP_07,Urban
SET_3079,Energy,Ongoing,33,10993285.835807946,Energy Requirement 3078,31589,IP_08,Semi Rural
SET_3080,Water Supply,Delayed,56,14078343.17751022,Water Supply Requirement 3079,51622,IP_11,Semi Urban
SET_3081,Hospital Development,Ongoing,37,1423969.8075421469,Hospital Development Requirement 3080,2705,IP_16,Semi Rural
SET_3082,Market Place Construction,Delayed,66,8483490.225291936,Market Place Construction Requirement 3081,31785,IP_20,Semi Rural
SET_3083,School Building,Delayed,51,6362761.876155495,School Building Requirement 3082,28384,IP_19,Semi Rural
SET_3084,School Building,Completed On Time,100,27739235.89910878,School Building Requirement 3083,85682,IP_04,Semi Urban
SET_3085,Hospital Development,Completed Behind Schedule,81,1473428.658357241,Hospital Development Requirement 3084,4573,IP_04,Semi Rural
SET_3086,Energy,Completed On Time,100,9742035.263162026,Energy Requirement 3085,46610,IP_09,Semi Rural
SET_3087,School Building,Cancelled,1,26361770.77175607,School Building Requirement 3086,62323,IP_14,Semi Urban
SET_3088,Water Supply,Completed Behind Schedule,96,16333831.27037261,Water Supply Requirement 3087,29557,IP_04,Semi Urban
SET_3089,Market Place Construction,Ongoing,50,20218539.502137035,Market Place Construction Requirement 3088,43861,IP_01,Semi Urban
SET_3090,Water Supply,Completed On Time,100,55508627.472252995,Water Supply Requirement 3089,89454,IP_13,Semi Urban
SET_3091,Water Supply,Completed On Time,100,30924928.739886563,Water Supply Requirement 3090,52738,IP_20,Urban
SET_3092,Market Place Construction,Completed On Time,100,21632943.493535064,Market Place Construction Requirement 3091,78831,IP_01,Semi Urban
SET_3093,Hospital Development,Ongoing,63,331918.4997741899,Hospital Development Requirement 3092,1036,IP_12,Rural
SET_3094,Energy,Completed On Time,100,6577372.298300257,Energy Requirement 3093,20039,IP_04,Semi Rural
SET_3095,Hospital Development,Completed Behind Schedule,85,9813229.99597906,Hospital Development Requirement 3094,39416,IP_06,Semi Rural
SET_3096,Market Place Construction,Completed Behind Schedule,88,15421740.851883864,Market Place Construction Requirement 3095,51354,IP_18,Semi Urban
SET_3097,Energy,Ongoing,52,21522851.92213388,Energy Requirement 3096,50322,IP_10,Semi Urban
SET_3098,Energy,Ongoing,51,3287188.728572001,Energy Requirement 3097,13209,IP_15,Semi Urban
SET_3099,Energy,Ongoing,30,5849587.906449533,Energy Requirement 3098,19408,IP_02,Semi Rural
SET_3100,Hospital Development,Delayed,63,39969977.8204255,Hospital Development Requirement 3099,96675,IP_15,Urban
SET_3101,Water Supply,Completed On Time,100,1909525.9954358311,Water Supply Requirement 3100,7716,IP_04,Rural
SET_3102,School Building,Completed Behind Schedule,80,2289292.8399495776,School Building Requirement 3101,6605,IP_05,Rural
SET_3103,Hospital Development,Completed On Time,100,3701231.321111263,Hospital Development Requirement 3102,10906,IP_19,Semi Urban
SET_3104,School Building,Ongoing,75,12434309.114003737,School Building Requirement 3103,31571,IP_11,Semi Urban
SET_3105,School Building,Completed On Time,100,44966208.47708903,School Building Requirement 3104,73928,IP_13,Urban
SET_3106,Market Place Construction,Delayed,55,42166617.10009763,Market Place Construction Requirement 3105,73944,IP_02,Urban
SET_3107,Hospital Development,Completed On Time,100,31074975.081730843,Hospital Development Requirement 3106,74965,IP_19,Semi Urban
SET_3108,Road Construction,Ongoing,52,24292257.62735856,Road Construction Requirement 3107,66827,IP_15,Urban
SET_3109,Water Supply,Completed Behind Schedule,81,6290298.858021762,Water Supply Requirement 3108,11844,IP_18,Semi Urban
SET_3110,School Building,Ongoing,40,20447449.07402665,School Building Requirement 3109,40502,IP_06,Semi Urban
SET_3111,Water Supply,Completed On Time,100,23377084.76411243,Water Supply Requirement 3110,56596,IP_03,Semi Urban
SET_3112,Market Place Construction,Ongoing,54,14256819.102927944,Market Place Construction Requirement 3111,48470,IP_19,Semi Urban
SET_3113,Market Place Construction,Completed On Time,100,9041032.951120373,Market Place Construction Requirement 3112,30157,IP_02,Semi Rural
SET_3114,Hospital Development,Completed Behind Schedule,92,42718083.86509419,Hospital Development Requirement 3113,89484,IP_13,Semi Urban
SET_3115,Road Construction,Completed On Time,100,13586523.492756274,Road Construction Requirement 3114,27823,IP_05,Semi Rural
SET_3116,Energy,Completed On Time,100,18246173.18607967,Energy Requirement 3115,46532,IP_17,Semi Urban
SET_3117,School Building,Completed On Time,100,9740091.993140215,School Building Requirement 3116,20329,IP_08,Semi Urban
SET_3118,Market Place Construction,Completed On Time,100,7498752.256981126,Market Place Construction Requirement 3117,25172,IP_17,Semi Urban
SET_3119,School Building,Completed On Time,100,42613025.59614518,School Building Requirement 3118,70507,IP_11,Urban
SET_3120,School Building,Ongoing,33,14289312.923859946,School Building Requirement 3119,35426,IP_10,Semi Rural
SET_3121,Market Place Construction,Ongoing,50,8481078.778796416,Market Place Construction Requirement 3120,35482,IP_15,Semi Urban
SET_3122,Hospital Development,Ongoing,60,31883515.195956912,Hospital Development Requirement 3121,80951,IP_04,Urban
SET_3123,Water Supply,Stalled,38,38642625.30284247,Water Supply Requirement 3122,55697,IP_19,Urban
SET_3124,Hospital Development,Delayed,65,24268351.102256026,Hospital Development Requirement 3123,94907,IP_13,Semi Urban
SET_3125,Water Supply,Completed On Time,100,31665754.532373592,Water Supply Requirement 3124,69324,IP_18,Semi Urban
SET_3126,Energy,Cancelled,7,15618891.462851444,Energy Requirement 3125,34521,IP_07,Semi Urban
SET_3127,Hospital Development,Completed On Time,100,24521886.7621925,Hospital Development Requirement 3126,53635,IP_08,Semi Urban
SET_3128,Energy,Completed On Time,100,21834672.91438783,Energy Requirement 3127,75755,IP_03,Semi Urban
SET_3129,School Building,Completed On Time,100,43732984.61877826,School Building Requirement 3128,68719,IP_07,Urban
SET_3130,School Building,Completed On Time,100,40892014.62430115,School Building Requirement 3129,66355,IP_19,Urban
SET_3131,School Building,Completed Behind Schedule,84,22444536.197183087,School Building Requirement 3130,51637,IP_14,Semi Urban
SET_3132,Market Place Construction,Completed On Time,100,29219964.08943629,Market Place Construction Requirement 3131,90179,IP_10,Urban
SET_3133,Water Supply,Completed Behind Schedule,87,12257491.189796189,Water Supply Requirement 3132,43124,IP_16,Semi Rural
SET_3134,Market Place Construction,Completed On Time,100,6738832.634654094,Market Place Construction Requirement 3133,21243,IP_11,Semi Rural
SET_3135,Energy,Completed Behind Schedule,93,15968146.00007142,Energy Requirement 3134,56283,IP_07,Semi Urban
SET_3136,Water Supply,Completed Behind Schedule,81,11027699.262554405,Water Supply Requirement 3135,30543,IP_10,Semi Urban
SET_3137,Water Supply,Completed On Time,100,53960584.23329442,Water Supply Requirement 3136,99103,IP_17,Semi Urban
SET_3138,School Building,Ongoing,30,31809069.254140444,School Building Requirement 3137,98585,IP_14,Urban
SET_3139,School Building,Ongoing,58,18845908.11274953,School Building Requirement 3138,45391,IP_09,Semi Urban
SET_3140,Hospital Development,Completed On Time,100,60128998.44102506,Hospital Development Requirement 3139,86658,IP_18,Urban
SET_3141,Road Construction,Ongoing,43,5861761.920546215,Road Construction Requirement 3140,22291,IP_20,Semi Urban
SET_3142,School Building,Ongoing,65,52324776.73043124,School Building Requirement 3141,80870,IP_15,Urban
SET_3143,Road Construction,Completed On Time,100,29899056.674998187,Road Construction Requirement 3142,97682,IP_11,Semi Urban
SET_3144,Water Supply,Ongoing,51,20842144.87750756,Water Supply Requirement 3143,51641,IP_11,Semi Urban
SET_3145,Hospital Development,Delayed,73,10115362.933942607,Hospital Development Requirement 3144,45088,IP_14,Semi Rural
SET_3146,Market Place Construction,Completed On Time,100,16468705.832572164,Market Place Construction Requirement 3145,46321,IP_16,Semi Urban
SET_3147,Water Supply,Completed Behind Schedule,87,16532056.29994819,Water Supply Requirement 3146,45963,IP_17,Semi Rural
SET_3148,Energy,Ongoing,37,3591188.7808843423,Energy Requirement 3147,8085,IP_15,Semi Rural
SET_3149,Water Supply,Ongoing,52,57586830.61676641,Water Supply Requirement 3148,99960,IP_13,Semi Urban
SET_3150,Energy,Completed Behind Schedule,90,5410584.233680378,Energy Requirement 3149,15628,IP_04,Semi Urban
SET_3151,Hospital Development,Completed Behind Schedule,83,8136289.105710719,Hospital Development Requirement 3150,17494,IP_05,Semi Rural
SET_3152,Market Place Construction,Completed Behind Schedule,94,1915201.8644303477,Market Place Construction Requirement 3151,8590,IP_08,Rural
SET_3153,Water Supply,Delayed,52,9852549.348153034,Water Supply Requirement 3152,39334,IP_16,Semi Rural
SET_3154,Energy,Completed On Time,100,10369514.590771025,Energy Requirement 3153,30519,IP_10,Semi Urban
SET_3155,Energy,Completed On Time,100,1694865.2409342753,Energy Requirement 3154,6720,IP_12,Semi Rural
SET_3156,School Building,Delayed,66,4948927.061003768,School Building Requirement 3155,17587,IP_06,Semi Urban
SET_3157,Water Supply,Delayed,69,31608099.527554136,Water Supply Requirement 3156,88702,IP_11,Urban
SET_3158,Market Place Construction,Completed On Time,100,34854234.691429906,Market Place Construction Requirement 3157,69498,IP_09,Urban
SET_3159,Energy,Delayed,61,5895457.887328501,Energy Requirement 3158,16993,IP_13,Semi Rural
SET_3160,Road Construction,Completed On Time,100,12061435.452887898,Road Construction Requirement 3159,41023,IP_15,Semi Urban
SET_3161,Road Construction,Completed On Time,100,45177228.763342746,Road Construction Requirement 3160,81396,IP_15,Urban
SET_3162,Market Place Construction,Completed Behind Schedule,83,49957090.3208999,Market Place Construction Requirement 3161,98112,IP_16,Semi Urban
SET_3163,Hospital Development,Completed On Time,100,25462487.17826605,Hospital Development Requirement 3162,75616,IP_16,Semi Urban
SET_3164,Energy,Ongoing,77,15887079.521601025,Energy Requirement 3163,49100,IP_04,Semi Urban
SET_3165,Energy,Ongoing,62,39113376.83422746,Energy Requirement 3164,65262,IP_15,Urban
SET_3166,Hospital Development,Ongoing,77,4652822.612027326,Hospital Development Requirement 3165,14333,IP_07,Semi Urban
SET_3167,Hospital Development,Completed Behind Schedule,90,23710250.475354332,Hospital Development Requirement 3166,48060,IP_14,Semi Urban
SET_3168,Water Supply,Completed Behind Schedule,81,7734934.45548062,Water Supply Requirement 3167,28005,IP_04,Semi Rural
SET_3169,Market Place Construction,Delayed,63,3578048.760216687,Market Place Construction Requirement 3168,15481,IP_17,Semi Urban
SET_3170,Hospital Development,Delayed,76,16917749.397898797,Hospital Development Requirement 3169,34336,IP_10,Semi Urban
SET_3171,Hospital Development,Delayed,55,6706331.5656164605,Hospital Development Requirement 3170,15975,IP_07,Semi Rural
SET_3172,Water Supply,Stalled,35,32784988.594886765,Water Supply Requirement 3171,54537,IP_15,Urban
SET_3173,Water Supply,Completed On Time,100,34982859.07530486,Water Supply Requirement 3172,71096,IP_07,Semi Urban
SET_3174,Road Construction,Ongoing,69,24532850.71152589,Road Construction Requirement 3173,90446,IP_03,Semi Urban
SET_3175,Water Supply,Delayed,56,18088422.59226925,Water Supply Requirement 3174,53463,IP_02,Semi Urban
SET_3176,School Building,Completed On Time,100,14819188.911744265,School Building Requirement 3175,53287,IP_01,Urban
SET_3177,School Building,Ongoing,73,1560225.1677858527,School Building Requirement 3176,5987,IP_02,Rural
SET_3178,Water Supply,Completed Behind Schedule,80,6370089.442259213,Water Supply Requirement 3177,30681,IP_14,Semi Rural
SET_3179,Water Supply,Completed On Time,100,6828161.244846727,Water Supply Requirement 3178,31682,IP_19,Semi Rural
SET_3180,Hospital Development,Completed Behind Schedule,88,4366359.05143467,Hospital Development Requirement 3179,14319,IP_06,Semi Rural
SET_3181,Energy,Stalled,13,1580985.6240470242,Energy Requirement 3180,7221,IP_09,Rural
SET_3182,School Building,Cancelled,19,667444.2445592331,School Building Requirement 3181,1372,IP_08,Semi Rural
SET_3183,Road Construction,Cancelled,12,16061250.703727929,Road Construction Requirement 3182,75089,IP_02,Semi Urban
SET_3184,Market Place Construction,Completed On Time,100,40150446.5383502,Market Place Construction Requirement 3183,79893,IP_01,Urban
SET_3185,Road Construction,Completed On Time,100,49254611.79440806,Road Construction Requirement 3184,91914,IP_02,Semi Urban
SET_3186,Energy,Completed On Time,100,6097361.417144931,Energy Requirement 3185,15559,IP_04,Semi Urban
SET_3187,School Building,Stalled,29,38176730.32094384,School Building Requirement 3186,68178,IP_18,Semi Urban
SET_3188,Hospital Development,Completed On Time,100,6484843.158959094,Hospital Development Requirement 3187,21100,IP_09,Semi Rural
SET_3189,Road Construction,Completed Behind Schedule,89,44071001.7174626,Road Construction Requirement 3188,87069,IP_01,Urban
SET_3190,Hospital Development,Completed Behind Schedule,80,22591587.284890104,Hospital Development Requirement 3189,89475,IP_16,Semi Urban
SET_3191,Market Place Construction,Completed On Time,100,3367495.863171446,Market Place Construction Requirement 3190,14269,IP_07,Semi Rural
SET_3192,Market Place Construction,Completed Behind Schedule,81,35940701.18658087,Market Place Construction Requirement 3191,82210,IP_01,Urban
SET_3193,Hospital Development,Ongoing,73,40399691.72268073,Hospital Development Requirement 3192,83941,IP_13,Semi Urban
SET_3194,Market Place Construction,Ongoing,69,41313904.96460705,Market Place Construction Requirement 3193,67610,IP_04,Urban
SET_3195,School Building,Delayed,68,16796862.54345547,School Building Requirement 3194,46760,IP_01,Semi Urban
SET_3196,School Building,Stalled,18,354357.40708006045,School Building Requirement 3195,1318,IP_02,Rural
SET_3197,Road Construction,Delayed,64,32023647.246956524,Road Construction Requirement 3196,67911,IP_20,Semi Urban
SET_3198,Market Place Construction,Completed On Time,100,13474709.101295708,Market Place Construction Requirement 3197,47431,IP_08,Semi Rural
SET_3199,Hospital Development,Completed Behind Schedule,95,3150402.163767569,Hospital Development Requirement 3198,9911,IP_02,Rural
SET_3200,Water Supply,Stalled,38,23846935.13234293,Water Supply Requirement 3199,47809,IP_11,Semi Urban
SET_3201,Hospital Development,Stalled,33,25604165.633658405,Hospital Development Requirement 3200,88691,IP_07,Urban
SET_3202,School Building,Ongoing,60,3209025.4971748632,School Building Requirement 3201,12112,IP_02,Semi Rural
SET_3203,Road Construction,Delayed,76,3356943.5153454146,Road Construction Requirement 3202,12151,IP_03,Semi Rural
SET_3204,Road Construction,Completed Behind Schedule,91,6555270.769201253,Road Construction Requirement 3203,24765,IP_12,Semi Urban
SET_3205,Water Supply,Delayed,70,31499050.106307127,Water Supply Requirement 3204,59956,IP_20,Urban
SET_3206,Energy,Ongoing,45,29944687.508040924,Energy Requirement 3205,62969,IP_07,Urban
SET_3207,Hospital Development,Completed On Time,100,18057665.300668687,Hospital Development Requirement 3206,46284,IP_19,Semi Urban
SET_3208,Hospital Development,Completed Behind Schedule,89,24260021.724422295,Hospital Development Requirement 3207,79730,IP_11,Semi Urban
SET_3209,School Building,Delayed,57,36780003.548736885,School Building Requirement 3208,56878,IP_03,Urban
SET_3210,Energy,Ongoing,76,34077519.60323872,Energy Requirement 3209,77213,IP_07,Urban
SET_3211,School Building,Completed Behind Schedule,98,58722143.14768069,School Building Requirement 3210,95831,IP_10,Urban
SET_3212,Energy,Completed Behind Schedule,83,8994885.547563886,Energy Requirement 3211,17439,IP_20,Semi Urban
SET_3213,Market Place Construction,Ongoing,39,18452410.21957742,Market Place Construction Requirement 3212,65685,IP_10,Urban
SET_3214,Water Supply,Ongoing,43,4845501.775538794,Water Supply Requirement 3213,11149,IP_20,Semi Rural
SET_3215,Energy,Delayed,61,1102964.1005482723,Energy Requirement 3214,5206,IP_05,Rural
SET_3216,Hospital Development,Delayed,58,25018512.845493983,Hospital Development Requirement 3215,53584,IP_16,Urban
SET_3217,Hospital Development,Completed On Time,100,31741003.65237301,Hospital Development Requirement 3216,61874,IP_16,Urban
SET_3218,Water Supply,Cancelled,4,40069910.094148844,Water Supply Requirement 3217,71400,IP_19,Urban
SET_3219,Water Supply,Stalled,31,28266379.117941078,Water Supply Requirement 3218,63420,IP_02,Semi Urban
SET_3220,School Building,Delayed,58,11735798.998674223,School Building Requirement 3219,41459,IP_06,Semi Urban
SET_3221,Energy,Ongoing,72,14051992.618945124,Energy Requirement 3220,45802,IP_16,Semi Urban
SET_3222,Water Supply,Completed Behind Schedule,88,33870393.63671537,Water Supply Requirement 3221,59654,IP_12,Semi Urban
SET_3223,Water Supply,Completed Behind Schedule,81,1695966.0276048162,Water Supply Requirement 3222,9280,IP_02,Rural
SET_3224,Energy,Delayed,72,48270207.471873604,Energy Requirement 3223,79871,IP_16,Urban
SET_3225,Market Place Construction,Ongoing,78,12586250.060352355,Market Place Construction Requirement 3224,35161,IP_15,Semi Rural
SET_3226,Hospital Development,Ongoing,51,25029453.03282811,Hospital Development Requirement 3225,74465,IP_10,Urban
SET_3227,Water Supply,Cancelled,5,35516568.2990358,Water Supply Requirement 3226,80919,IP_06,Semi Urban
SET_3228,Road Construction,Completed On Time,100,11506101.208820423,Road Construction Requirement 3227,24115,IP_18,Semi Rural
SET_3229,Market Place Construction,Ongoing,67,4017322.4224925623,Market Place Construction Requirement 3228,13405,IP_06,Semi Urban
SET_3230,Energy,Completed On Time,100,7419387.496461897,Energy Requirement 3229,24091,IP_16,Semi Urban
SET_3231,Road Construction,Stalled,31,28313763.553931847,Road Construction Requirement 3230,74839,IP_08,Semi Urban
SET_3232,Hospital Development,Completed On Time,100,3999957.6416173535,Hospital Development Requirement 3231,16740,IP_14,Semi Urban
SET_3233,Energy,Ongoing,74,39088341.52662465,Energy Requirement 3232,76694,IP_18,Urban
SET_3234,Energy,Completed Behind Schedule,86,50747528.44757384,Energy Requirement 3233,88095,IP_18,Urban
SET_3235,Road Construction,Completed Behind Schedule,99,22583016.537169196,Road Construction Requirement 3234,50229,IP_11,Semi Urban
SET_3236,Market Place Construction,Completed On Time,100,9622194.560669748,Market Place Construction Requirement 3235,40441,IP_07,Semi Rural
SET_3237,School Building,Ongoing,50,3064340.3525257036,School Building Requirement 3236,11868,IP_15,Semi Rural
SET_3238,Water Supply,Completed On Time,100,17561271.7322838,Water Supply Requirement 3237,66107,IP_12,Semi Urban
SET_3239,Hospital Development,Completed On Time,100,11370637.19185476,Hospital Development Requirement 3238,35782,IP_16,Semi Urban
SET_3240,Hospital Development,Ongoing,38,21357100.406256296,Hospital Development Requirement 3239,51486,IP_15,Urban
SET_3241,Market Place Construction,Delayed,77,18618528.305367466,Market Place Construction Requirement 3240,65052,IP_16,Urban
SET_3242,Road Construction,Cancelled,7,21514046.949267056,Road Construction Requirement 3241,71514,IP_05,Urban
SET_3243,Road Construction,Completed On Time,100,5377985.593210272,Road Construction Requirement 3242,12629,IP_02,Semi Urban
SET_3244,Water Supply,Completed On Time,100,16245907.597917425,Water Supply Requirement 3243,47072,IP_02,Semi Urban
SET_3245,School Building,Cancelled,2,24070723.279102214,School Building Requirement 3244,75070,IP_11,Semi Urban
SET_3246,Water Supply,Ongoing,38,27667206.659766715,Water Supply Requirement 3245,66150,IP_14,Semi Urban
SET_3247,Hospital Development,Ongoing,46,3846315.247109073,Hospital Development Requirement 3246,9208,IP_07,Semi Rural
SET_3248,Market Place Construction,Completed On Time,100,35709944.54272786,Market Place Construction Requirement 3247,84744,IP_03,Semi Urban
SET_3249,Water Supply,Completed On Time,100,39435459.120540306,Water Supply Requirement 3248,65994,IP_16,Urban
SET_3250,Market Place Construction,Completed Behind Schedule,90,1065881.2537347379,Market Place Construction Requirement 3249,5888,IP_02,Rural
SET_3251,Market Place Construction,Ongoing,66,33850495.51404203,Market Place Construction Requirement 3250,92016,IP_18,Semi Urban
SET_3252,Water Supply,Ongoing,52,47395452.81792784,Water Supply Requirement 3251,85644,IP_06,Semi Urban
SET_3253,Energy,Completed Behind Schedule,87,33505369.929682486,Energy Requirement 3252,51423,IP_06,Urban
SET_3254,Market Place Construction,Completed Behind Schedule,83,7074969.24040679,Market Place Construction Requirement 3253,17010,IP_09,Semi Rural
SET_3255,Energy,Stalled,23,24882896.26580797,Energy Requirement 3254,86950,IP_07,Semi Urban
SET_3256,Hospital Development,Completed Behind Schedule,84,21271034.631511305,Hospital Development Requirement 3255,47402,IP_18,Semi Rural
SET_3257,Road Construction,Completed On Time,100,5942553.853914878,Road Construction Requirement 3256,23765,IP_15,Semi Rural
SET_3258,Water Supply,Completed On Time,100,5365193.489343119,Water Supply Requirement 3257,20098,IP_05,Semi Urban
SET_3259,School Building,Ongoing,71,13198970.848282203,School Building Requirement 3258,29270,IP_07,Semi Rural
SET_3260,Energy,Ongoing,79,16561177.55383178,Energy Requirement 3259,57636,IP_11,Urban
SET_3261,School Building,Delayed,65,11511484.188860714,School Building Requirement 3260,32334,IP_16,Semi Urban
SET_3262,School Building,Completed Behind Schedule,90,13724050.700562634,School Building Requirement 3261,32139,IP_02,Semi Urban
SET_3263,School Building,Stalled,28,36630365.540204495,School Building Requirement 3262,68278,IP_18,Urban
SET_3264,Hospital Development,Completed On Time,100,16495950.891063798,Hospital Development Requirement 3263,57310,IP_05,Urban
SET_3265,Energy,Ongoing,41,19233531.764344856,Energy Requirement 3264,70400,IP_03,Semi Urban
SET_3266,Energy,Completed On Time,100,38148271.06386458,Energy Requirement 3265,62760,IP_10,Urban
SET_3267,School Building,Ongoing,48,3133812.6943512983,School Building Requirement 3266,14878,IP_08,Semi Rural
SET_3268,Hospital Development,Completed On Time,100,4480989.781001444,Hospital Development Requirement 3267,18340,IP_13,Semi Urban
SET_3269,School Building,Completed Behind Schedule,81,18522380.762132425,School Building Requirement 3268,35723,IP_01,Semi Urban
SET_3270,Road Construction,Ongoing,48,13662344.683554193,Road Construction Requirement 3269,36097,IP_04,Semi Urban
SET_3271,Road Construction,Cancelled,5,32517386.47197826,Road Construction Requirement 3270,59990,IP_18,Urban
SET_3272,Hospital Development,Stalled,35,36520139.62130229,Hospital Development Requirement 3271,62957,IP_10,Urban
SET_3273,School Building,Cancelled,12,2955526.257899835,School Building Requirement 3272,15099,IP_20,Semi Rural
SET_3274,Water Supply,Completed Behind Schedule,91,9670070.380610533,Water Supply Requirement 3273,45867,IP_11,Semi Rural
SET_3275,Road Construction,Delayed,66,7244791.86392892,Road Construction Requirement 3274,13281,IP_11,Semi Urban
SET_3276,Water Supply,Ongoing,60,8184069.190726151,Water Supply Requirement 3275,35462,IP_10,Semi Urban
SET_3277,Hospital Development,Completed On Time,100,11901906.609672707,Hospital Development Requirement 3276,46474,IP_19,Semi Rural
SET_3278,Market Place Construction,Ongoing,44,29003965.27478212,Market Place Construction Requirement 3277,87257,IP_04,Urban
SET_3279,School Building,Completed On Time,100,12199607.036319884,School Building Requirement 3278,28948,IP_12,Semi Urban
SET_3280,School Building,Completed Behind Schedule,88,32962247.58886152,School Building Requirement 3279,53062,IP_06,Urban
SET_3281,Water Supply,Ongoing,49,10979233.05266788,Water Supply Requirement 3280,41059,IP_01,Semi Rural
SET_3282,Water Supply,Completed On Time,100,38777424.944290645,Water Supply Requirement 3281,67896,IP_15,Semi Urban
SET_3283,Energy,Ongoing,74,21995364.61427128,Energy Requirement 3282,60347,IP_17,Semi Urban
SET_3284,Energy,Delayed,78,231079.2836903183,Energy Requirement 3283,1234,IP_14,Rural
SET_3285,Hospital Development,Completed Behind Schedule,88,37101051.14873337,Hospital Development Requirement 3284,61598,IP_06,Urban
SET_3286,School Building,Stalled,38,36055866.375099905,School Building Requirement 3285,93864,IP_02,Urban
SET_3287,Hospital Development,Completed Behind Schedule,88,11713076.442455905,Hospital Development Requirement 3286,53191,IP_08,Semi Urban
SET_3288,Energy,Ongoing,70,10636308.29395121,Energy Requirement 3287,44671,IP_19,Semi Rural
SET_3289,Energy,Completed On Time,100,9296164.216411034,Energy Requirement 3288,29821,IP_14,Semi Rural
SET_3290,Road Construction,Completed Behind Schedule,86,40332790.58282935,Road Construction Requirement 3289,66841,IP_07,Urban
SET_3291,Water Supply,Delayed,76,30643730.386991277,Water Supply Requirement 3290,76462,IP_03,Semi Urban
SET_3292,Road Construction,Delayed,70,40176141.139251955,Road Construction Requirement 3291,95148,IP_15,Semi Urban
